"id ","BAIRROS","PONTOS DE EMBARQUE ","07x19hs ","19x07hs","link do mapa"
"1","Nova Esperança  ","1° - Estrada VS-10 em frente ao Presídio ","03:50:00","15:50:00","https://www.google.com/maps/d/u/1/embed?mid=1z7Sysd2YjC8qGYYdMMwK64Sux1uV1DA&ehbc=2E312F"
"2","Brasília  ","2° Av. W3 proximoa Distribuidora Castro ","03:52:00","15:52:00",""
"3","Brasília ","3° Rua 06 proximoa Igreja ","05:56:00","15:56:00",""
"4","Brasília   ","4° Av. S/nome esquina com a VS10","03:57:00","15:57:00",""
"5","Jardim Planalto  "," 5° VS-10 proximo ao FRIGOVAN","03:59:00","15:59:00",""
"6","Jardim Planalto ","6° VS10 início da pista dupla"," 04:01:00 ","16:01:00",""
"7","Jardim Planalto   ","7° Rua Sebastião Pimenta esquina com a D","04:03:00","16:03:00",""
"8","Jardim Planalto   ","8° Rua Maria Lopes","04:05:00","16:05:00",""
"9","São Luís  ","9° Rua 02 esquina com a 01"," 04:07:00","16:07:00",""
"10","São Luís   ","10° Rua Pai Brasil proximo ao Campinho","04:09:00","16:09:00",""
"11","São Luís  ","11° Rua Sete em frente a panificadora Vitoria ","04:11:00","16:11:00",""
"12","Bom Jesus   ","13° Rua Seringueira esquina com a Buriti","04:13:00","16:13:00",""
"13","Bom Jesus  ","13° VS10 ponto de parada esquina com a Av. Ipê"," 04:15:00","16:15:00",""
"14","Bom Jesus   ","14° VS10 em frente ao Raio do Sol","04:17:00","16:17:00",""
"15","São Lucas I   ","15° VS10 esquina com a Diolina Lemos","04:19:00","16:19:00",""
"16","São Lucas I  ","16° VS10 proximo a Castanheira"," 04:21:00","16:21:00",""
"17","São Lucas I   ","17° Rua Alzira Camilo areial","04:23:00","16:23:00",""
"18","São Lucas I ","18° VS10 proximo a casa de construção C&G","04:25:00"," 16:25:00",""
"19","São Lucas II  ","19° VS10 proximo ao Sucatão ","04:26:00","16:26:00",""
"20","Guanabara  ","20° Paulo Maranhão ","04:27:00","16:27:00",""
"21","Guanabara  ","21° Av. Bom Jardim posto combustível ","04:28:00","16:28:00",""
"22","Montes Claro   ","22° - Av. Floriano Peixoto","04:29:00","16:29:00",""
"23","Montes Claro  "," 23° - Rua Augusto Meire","04:30:00","16:30:00",""
"24","Guanabara  ","24° - Av. Bom Jardim ","04:31:00","16:31:00",""
"25","Da Paz   ","25° Rua Marabá ( Pontos de parada )","04:35:00","16:35:00",""
"26","Da Paz   ","26° - Rua Lauro Corona","04:37:00","16:37:00",""
"27","Da Paz   ","27° - Hotel Atrium","04:38:00","16:38:00",""
"28","Beira Rio I  ","28° Av. Pres. Kennedy ","04:40:00","16:40:00",""
"29","Jardim Canadá   ","29° - Av. J","04:42:00","16:42:00",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
